client_id,average_check,number_orders,average_score,items_per_order,is_friend,last_check,last_score,last_scored_after_order_days,last_late_by_minutes,is_last_order_fullfilled,items_share_category_1,items_share_category_2,items_share_category_3,items_share_category_4,items_share_category_5,items_share_category_6,items_share_category_7,items_share_category_8,items_share_category_9,items_share_category_10,items_share_category_11,items_share_category_12,items_share_category_13,items_share_category_14,items_share_category_15,items_share_category_16,items_share_category_17,items_share_category_18,items_share_category_19,items_share_category_20,items_share_category_21,items_share_category_22,items_share_category_23,items_share_category_24,items_share_category_25,items_share_category_26,items_share_category_27
10130,46100,8,,9.875,0,7295.0,,,71,1,0.04,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.08,0.0,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.05,0.05,0.14
13188,76100,20,10.0,21.85,0,20074.0,10.0,5.0,0,1,0.0,0.01,0.0,0.03,0.05,0.25,0.03,0.0,0.01,0.0,0.03,0.05,0.08,0.0,0.01,0.2,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.0,0.0
7082,131100,24,9.8,25.5,0,57937.0,6.0,0.0,0,1,0.04,0.0,0.0,0.05,0.09,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.07,0.0,0.01,0.27,0.02,0.05,0.0,0.0,0.0,0.0,0.02,0.25,0.03,0.0,0.0
3451,63100,6,10.0,19.5,0,18434.0,10.0,12.0,19,0,0.0,0.02,0.0,0.02,0.1,0.02,0.0,0.0,0.01,0.0,0.03,0.09,0.14,0.0,0.02,0.09,0.06,0.12,0.0,0.0,0.0,0.02,0.0,0.26,0.02,0.0,0.0
969,35200,32,8.5,8.9375,0,5605.0,8.0,1.0,0,1,0.0,0.02,0.0,0.02,0.01,0.04,0.0,0.0,0.0,0.0,0.03,0.05,0.05,0.01,0.0,0.37,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.3,0.02,0.01,0.03
9964,48300,7,10.0,9.5714,0,27056.0,,,0,0,0.0,0.0,0.0,0.06,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.09,0.19,0.01,0.1,0.0,0.0,0.0,0.0,0.01,0.18,0.06,0.0,0.01
5072,62400,19,9.3333,15.5789,0,12777.0,,,0,1,0.0,0.05,0.0,0.06,0.08,0.0,0.01,0.0,0.0,0.0,0.01,0.09,0.09,0.01,0.01,0.22,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.18,0.01,0.0,0.1
2756,32300,68,10.0,8.7059,0,22839.0,10.0,1.0,14,1,0.0,0.01,0.0,0.02,0.02,0.17,0.1,0.0,0.0,0.0,0.03,0.03,0.03,0.01,0.0,0.1,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.4,0.03,0.01,0.01
11920,60900,35,8.0,19.8286,1,26341.0,,,0,1,0.0,0.0,0.0,0.05,0.06,0.04,0.03,0.0,0.01,0.0,0.02,0.03,0.11,0.0,0.01,0.35,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.01,0.01
4100,59500,6,10.0,12.0,0,12346.0,,,0,1,0.0,0.01,0.0,0.07,0.1,0.1,0.04,0.0,0.0,0.0,0.01,0.03,0.19,0.0,0.01,0.1,0.03,0.01,0.0,0.0,0.0,0.0,0.03,0.25,0.0,0.0,0.01
3227,95900,11,9.0,12.2727,1,44899.0,10.0,5.0,0,1,0.0,0.05,0.0,0.15,0.06,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.01,0.26,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.0,0.02
8148,39100,17,6.0,13.0,0,10581.0,6.0,10.0,0,0,0.0,0.0,0.0,0.04,0.0,0.07,0.01,0.0,0.0,0.0,0.01,0.0,0.06,0.0,0.0,0.17,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.53,0.03,0.0,0.05
11125,28700,15,10.0,16.0,0,8907.0,10.0,0.0,0,1,0.0,0.0,0.0,0.07,0.07,0.0,0.04,0.0,0.0,0.0,0.01,0.11,0.07,0.0,0.01,0.13,0.04,0.1,0.0,0.0,0.01,0.0,0.02,0.23,0.07,0.01,0.01
10431,56100,18,9.0,14.5,0,28919.0,6.0,0.0,0,1,0.03,0.0,0.0,0.01,0.04,0.0,0.1,0.0,0.0,0.0,0.01,0.05,0.1,0.0,0.03,0.16,0.06,0.02,0.0,0.0,0.0,0.01,0.03,0.31,0.01,0.0,0.02
7904,85400,10,9.2,19.9,0,7260.0,,,0,1,0.01,0.0,0.0,0.09,0.01,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.17,0.0,0.0,0.16,0.05,0.07,0.0,0.0,0.0,0.0,0.02,0.3,0.06,0.01,0.02
7387,96200,13,9.8462,27.8462,0,7298.0,8.0,1.0,0,1,0.04,0.0,0.0,0.07,0.06,0.32,0.03,0.0,0.0,0.0,0.04,0.01,0.07,0.0,0.0,0.09,0.07,0.01,0.0,0.0,0.0,0.0,0.02,0.11,0.04,0.0,0.0
2145,51500,7,9.0,5.7143,0,22302.0,8.0,0.0,0,1,0.0,0.0,0.0,0.0,0.03,0.0,0.18,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.35,0.0,0.03,0.0
12358,45000,12,7.6667,11.5,0,15678.0,,,0,1,0.0,0.01,0.0,0.04,0.07,0.01,0.01,0.0,0.0,0.0,0.07,0.06,0.13,0.0,0.0,0.36,0.06,0.04,0.0,0.0,0.0,0.0,0.01,0.05,0.02,0.0,0.06
2599,67900,8,8.0,22.25,0,16387.0,,,0,1,0.0,0.0,0.0,0.02,0.03,0.01,0.02,0.0,0.0,0.0,0.03,0.04,0.19,0.0,0.02,0.28,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.01,0.07
3222,25300,66,9.2432,8.3939,1,1690.0,,,0,1,0.0,0.0,0.0,0.03,0.03,0.01,0.03,0.0,0.0,0.0,0.01,0.02,0.08,0.0,0.0,0.13,0.03,0.08,0.0,0.0,0.0,0.0,0.01,0.47,0.05,0.0,0.01
11127,50000,15,10.0,12.0,0,19579.0,10.0,0.0,0,0,0.0,0.0,0.0,0.03,0.16,0.01,0.01,0.0,0.0,0.0,0.0,0.05,0.07,0.0,0.0,0.13,0.08,0.06,0.0,0.0,0.01,0.0,0.0,0.29,0.04,0.04,0.02
13297,54500,11,9.5,15.0909,0,22020.0,,,0,1,0.0,0.0,0.0,0.0,0.07,0.01,0.18,0.0,0.01,0.0,0.03,0.02,0.08,0.13,0.01,0.21,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.0,0.03
6616,63400,11,10.0,16.1818,0,8716.0,10.0,0.0,0,1,0.0,0.0,0.0,0.01,0.1,0.02,0.03,0.0,0.0,0.0,0.01,0.03,0.06,0.0,0.01,0.21,0.01,0.09,0.0,0.0,0.0,0.0,0.0,0.16,0.25,0.0,0.03
9715,25300,6,10.0,5.0,0,17921.0,10.0,5.0,0,1,0.03,0.0,0.0,0.0,0.07,0.13,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.23,0.13,0.07,0.0,0.0,0.03,0.0,0.0,0.2,0.0,0.03,0.0
11623,50500,17,10.0,8.8235,0,16807.0,,,0,1,0.0,0.0,0.0,0.13,0.03,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.01,0.2,0.03,0.21,0.0,0.0,0.01,0.0,0.03,0.13,0.01,0.01,0.0
11559,33100,10,9.6667,15.3,1,10161.0,,,0,0,0.0,0.0,0.0,0.02,0.04,0.02,0.0,0.0,0.0,0.0,0.01,0.07,0.02,0.0,0.0,0.33,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.33,0.06,0.0,0.02
461,50200,28,,17.2143,0,9723.0,,,0,1,0.0,0.0,0.0,0.03,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.02,0.09,0.0,0.0,0.2,0.01,0.11,0.0,0.0,0.0,0.0,0.0,0.36,0.06,0.01,0.07
13533,25600,6,9.6667,13.0,0,8968.0,10.0,0.0,0,1,0.0,0.0,0.0,0.0,0.04,0.78,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
2151,96100,34,10.0,23.7059,0,17711.0,,,0,1,0.0,0.02,0.0,0.02,0.01,0.16,0.03,0.0,0.0,0.0,0.05,0.01,0.04,0.0,0.0,0.3,0.03,0.08,0.0,0.0,0.0,0.0,0.02,0.17,0.02,0.01,0.01
2225,115200,12,,27.9167,0,49649.0,,,0,0,0.0,0.0,0.0,0.02,0.07,0.04,0.08,0.0,0.01,0.0,0.02,0.04,0.05,0.02,0.0,0.33,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.01,0.03
2234,135200,46,,17.1087,0,13824.0,,,0,1,0.0,0.0,0.0,0.05,0.11,0.06,0.01,0.0,0.01,0.0,0.0,0.06,0.06,0.0,0.0,0.29,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.23,0.04,0.0,0.04
4357,25300,49,8.5455,8.0816,0,2776.0,,,0,1,0.03,0.0,0.0,0.06,0.14,0.17,0.02,0.0,0.0,0.0,0.03,0.09,0.11,0.0,0.01,0.02,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.01
860,44000,7,10.0,11.5714,0,17529.0,10.0,8.0,0,1,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.1,0.0,0.0,0.33,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.36,0.0,0.0,0.06
5427,37500,12,10.0,11.5833,0,11516.0,10.0,1.0,0,1,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.26,0.03,0.02,0.0,0.0,0.0,0.01,0.06,0.27,0.12,0.0,0.06
8469,103100,25,6.6667,26.72,0,34075.0,,,0,0,0.01,0.0,0.0,0.04,0.06,0.01,0.04,0.0,0.0,0.0,0.03,0.06,0.08,0.02,0.0,0.15,0.03,0.03,0.0,0.0,0.0,0.03,0.0,0.19,0.13,0.0,0.08
2207,73700,9,10.0,20.3333,1,38571.0,,,40,1,0.0,0.0,0.0,0.06,0.09,0.01,0.0,0.0,0.04,0.0,0.0,0.15,0.06,0.0,0.0,0.12,0.05,0.05,0.0,0.0,0.0,0.01,0.0,0.28,0.04,0.0,0.05
1611,41000,42,9.4839,13.6905,1,10010.0,10.0,1.0,0,0,0.0,0.01,0.0,0.04,0.02,0.05,0.01,0.0,0.0,0.01,0.03,0.04,0.1,0.0,0.0,0.28,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.2,0.07,0.0,0.02
4282,46100,11,10.0,15.7273,0,10781.0,,,0,1,0.0,0.01,0.0,0.12,0.11,0.0,0.01,0.0,0.0,0.0,0.0,0.05,0.21,0.0,0.0,0.14,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.16,0.05,0.0,0.04
11046,38800,20,10.0,7.8,0,8099.0,,,0,1,0.0,0.06,0.0,0.06,0.03,0.01,0.02,0.0,0.01,0.0,0.01,0.02,0.03,0.0,0.01,0.22,0.0,0.16,0.0,0.0,0.01,0.01,0.03,0.23,0.02,0.01,0.06
247,30200,17,9.2,6.8824,0,4622.0,,,68,0,0.0,0.06,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.01,0.01,0.01,0.05,0.0,0.0,0.07,0.03,0.15,0.0,0.0,0.0,0.0,0.05,0.46,0.05,0.0,0.01
7744,33000,6,10.0,2.1667,0,7086.0,,,0,1,0.0,0.0,0.0,0.15,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
9404,52100,13,10.0,21.7692,0,20415.0,,,0,1,0.0,0.0,0.0,0.06,0.08,0.01,0.0,0.0,0.01,0.0,0.01,0.05,0.15,0.0,0.0,0.13,0.06,0.12,0.0,0.0,0.0,0.0,0.02,0.24,0.01,0.0,0.04
4464,38100,6,8.4,9.3333,0,16167.0,4.0,0.0,0,1,0.0,0.0,0.0,0.05,0.34,0.05,0.04,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.11,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.13,0.04,0.0,0.0
11729,62100,22,,16.3182,0,8869.0,,,0,1,0.0,0.0,0.0,0.03,0.05,0.0,0.02,0.0,0.0,0.0,0.02,0.03,0.11,0.0,0.0,0.08,0.11,0.02,0.0,0.0,0.0,0.01,0.01,0.49,0.01,0.02,0.02
9217,26700,29,10.0,6.4138,1,8691.0,,,0,1,0.03,0.01,0.0,0.08,0.04,0.0,0.01,0.0,0.0,0.0,0.01,0.06,0.11,0.0,0.0,0.24,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.28,0.01,0.0,0.01
6039,30000,12,8.5,5.0833,0,7504.0,8.0,9.0,0,1,0.0,0.0,0.0,0.03,0.0,0.67,0.0,0.0,0.0,0.0,0.05,0.0,0.13,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
9112,74500,11,9.2,14.3636,0,11545.0,,,0,1,0.0,0.04,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.16,0.0,0.0,0.27,0.07,0.06,0.0,0.0,0.0,0.0,0.01,0.23,0.04,0.0,0.03
4679,76700,13,9.3333,24.3077,0,29201.0,10.0,0.0,0,1,0.0,0.0,0.0,0.04,0.03,0.01,0.05,0.0,0.0,0.0,0.06,0.03,0.17,0.0,0.01,0.2,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.1,0.14,0.0,0.05
9675,51100,15,8.3333,21.2,0,17466.0,,,0,1,0.0,0.0,0.0,0.03,0.01,0.0,0.03,0.0,0.0,0.0,0.03,0.03,0.18,0.0,0.0,0.36,0.03,0.04,0.0,0.0,0.0,0.0,0.01,0.19,0.03,0.0,0.03
4739,31000,13,,6.3077,0,9832.0,,,0,1,0.0,0.0,0.0,0.15,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.0,0.0,0.26,0.1,0.16,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
9359,61300,6,10.0,19.0,0,18663.0,,,0,1,0.0,0.0,0.0,0.0,0.04,0.13,0.01,0.0,0.0,0.0,0.04,0.02,0.11,0.0,0.0,0.26,0.03,0.04,0.0,0.0,0.0,0.0,0.02,0.29,0.0,0.0,0.03
13703,37100,7,10.0,8.4286,0,11986.0,,,0,1,0.0,0.0,0.0,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.31,0.02,0.12,0.02,0.0,0.02,0.0,0.2,0.0,0.0,0.0,0.0,0.02,0.05,0.02,0.0,0.15
9652,72800,14,7.6364,17.5714,0,16201.0,8.0,7.0,0,1,0.0,0.02,0.0,0.04,0.1,0.01,0.02,0.0,0.0,0.0,0.0,0.05,0.24,0.0,0.01,0.1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.33,0.03,0.0,0.01
6410,268100,13,7.3333,18.2308,0,103289.0,8.0,1.0,0,1,0.0,0.0,0.0,0.11,0.11,0.15,0.0,0.0,0.0,0.0,0.04,0.09,0.12,0.0,0.04,0.15,0.0,0.08,0.0,0.0,0.0,0.01,0.0,0.04,0.05,0.0,0.0
5196,77100,34,9.1579,17.1176,1,27448.0,10.0,4.0,0,1,0.01,0.0,0.0,0.04,0.07,0.05,0.04,0.0,0.0,0.0,0.0,0.04,0.11,0.0,0.0,0.18,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.28,0.09,0.01,0.04
931,81400,20,10.0,18.1,1,38094.0,,,0,1,0.0,0.0,0.0,0.02,0.04,0.01,0.03,0.0,0.01,0.0,0.06,0.01,0.08,0.03,0.01,0.26,0.04,0.03,0.0,0.0,0.0,0.0,0.02,0.32,0.02,0.0,0.0
1095,87500,19,9.0,18.5789,0,24297.0,10.0,12.0,0,1,0.0,0.0,0.0,0.02,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.24,0.03,0.01,0.0,0.0,0.0,0.0,0.03,0.47,0.0,0.0,0.03
12423,45800,19,6.5,12.6842,0,16850.0,,,0,1,0.0,0.01,0.0,0.05,0.02,0.04,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.0,0.0,0.22,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.08,0.0,0.06
7420,58700,45,8.5,15.2,1,25735.0,,,0,0,0.0,0.0,0.0,0.05,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.02,0.06,0.0,0.0,0.21,0.04,0.04,0.0,0.0,0.0,0.0,0.02,0.3,0.08,0.01,0.03
3986,24000,8,10.0,6.75,0,8871.0,10.0,4.0,0,1,0.0,0.0,0.0,0.11,0.06,0.06,0.09,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.04,0.33,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.09
4410,66800,8,,5.75,0,21117.0,,,0,1,0.02,0.0,0.0,0.07,0.17,0.02,0.0,0.0,0.0,0.0,0.0,0.15,0.07,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.15,0.0,0.2,0.02,0.11,0.0
13526,68400,9,8.0,19.6667,0,18530.0,,,0,1,0.0,0.01,0.0,0.02,0.1,0.0,0.01,0.0,0.01,0.0,0.02,0.09,0.12,0.0,0.0,0.09,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.36,0.02,0.0,0.05
5650,153500,17,,12.1765,0,76055.0,,,0,0,0.0,0.1,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.05,0.03,0.05,0.0,0.0,0.27,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.29,0.01,0.0,0.01
5485,64000,15,8.9231,21.9333,1,22417.0,10.0,14.0,0,0,0.0,0.0,0.0,0.04,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.13,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.69,0.01,0.01,0.02
4897,96700,11,9.6,34.4545,0,51344.0,10.0,1.0,0,1,0.0,0.01,0.0,0.16,0.09,0.0,0.04,0.0,0.0,0.0,0.0,0.09,0.15,0.0,0.0,0.17,0.03,0.04,0.0,0.0,0.0,0.01,0.0,0.17,0.04,0.0,0.01
7235,55000,12,9.0909,15.0,0,19340.0,8.0,75.0,0,1,0.0,0.0,0.0,0.02,0.09,0.01,0.01,0.0,0.04,0.0,0.0,0.06,0.06,0.0,0.04,0.14,0.0,0.12,0.0,0.0,0.0,0.01,0.02,0.36,0.03,0.0,0.01
6079,36500,15,10.0,10.6,0,10191.0,,,0,1,0.0,0.0,0.0,0.06,0.12,0.0,0.01,0.0,0.0,0.0,0.06,0.06,0.15,0.0,0.0,0.25,0.03,0.06,0.0,0.0,0.0,0.0,0.01,0.11,0.05,0.0,0.04
2524,35000,61,,9.3443,0,18582.0,,,0,1,0.0,0.0,0.0,0.09,0.05,0.06,0.04,0.0,0.0,0.0,0.0,0.02,0.1,0.01,0.02,0.23,0.05,0.03,0.0,0.0,0.0,0.0,0.01,0.19,0.03,0.01,0.04
1449,36600,7,2.0,7.8571,0,3531.0,,,0,1,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.0,0.0,0.0,0.13,0.02,0.25,0.0,0.0,0.0,0.0,0.0,0.27,0.05,0.0,0.07
7226,63200,9,9.5,13.2222,0,11999.0,,,0,0,0.11,0.0,0.0,0.07,0.03,0.11,0.03,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.15,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.23,0.07,0.0,0.06
7606,25000,7,7.4286,10.1429,0,8157.0,6.0,1.0,0,1,0.0,0.0,0.0,0.0,0.03,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.54,0.03,0.01,0.0
9929,63200,6,10.0,12.6667,0,10316.0,10.0,0.0,0,1,0.11,0.0,0.0,0.05,0.0,0.11,0.01,0.0,0.0,0.0,0.01,0.08,0.04,0.0,0.0,0.17,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.17,0.13,0.0,0.07
10026,79100,11,,20.5455,0,20697.0,,,0,1,0.0,0.0,0.0,0.01,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.01,0.28,0.0,0.0,0.23,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.23,0.04,0.0,0.04
3552,77900,22,9.0,20.3636,0,22016.0,10.0,6.0,0,1,0.0,0.0,0.0,0.04,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.0,0.0,0.19,0.0,0.26,0.0,0.0,0.0,0.01,0.0,0.24,0.04,0.0,0.0
1582,104600,12,,24.4167,1,8720.0,,,0,1,0.05,0.01,0.0,0.03,0.03,0.02,0.04,0.0,0.0,0.0,0.05,0.03,0.07,0.0,0.0,0.18,0.06,0.07,0.0,0.0,0.0,0.0,0.0,0.29,0.03,0.0,0.04
6903,30900,10,10.0,11.1,0,9819.0,10.0,0.0,0,1,0.0,0.0,0.0,0.05,0.03,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.25,0.02,0.05,0.0,0.0,0.01,0.0,0.0,0.27,0.09,0.0,0.02
13260,41900,10,,15.3,0,8579.0,,,20,1,0.0,0.0,0.0,0.16,0.05,0.01,0.02,0.0,0.0,0.0,0.02,0.05,0.14,0.0,0.01,0.14,0.05,0.07,0.0,0.0,0.0,0.0,0.01,0.19,0.05,0.0,0.03
8967,41800,34,,7.5294,0,10265.0,,,0,1,0.0,0.0,0.0,0.05,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.02,0.0,0.6,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.03
5271,42300,11,9.1429,15.8182,0,10290.0,,,0,0,0.0,0.01,0.0,0.02,0.09,0.05,0.01,0.0,0.0,0.0,0.01,0.04,0.13,0.01,0.0,0.22,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.26,0.05,0.0,0.04
12706,31900,8,8.6667,6.625,0,10069.0,10.0,8.0,0,1,0.0,0.17,0.0,0.08,0.19,0.04,0.0,0.0,0.0,0.0,0.0,0.06,0.11,0.0,0.0,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.0,0.0
2944,33100,8,10.0,10.375,0,7259.0,,,0,1,0.0,0.0,0.0,0.04,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.07,0.12,0.0,0.0,0.19,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.23,0.13,0.0,0.01
10520,37300,6,,7.3333,0,20832.0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.2,0.0,0.0,0.05,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.41,0.02,0.0,0.05
3974,76100,7,10.0,27.0,1,17858.0,10.0,0.0,0,0,0.0,0.03,0.0,0.07,0.01,0.04,0.02,0.0,0.01,0.0,0.06,0.02,0.1,0.0,0.0,0.03,0.0,0.18,0.0,0.0,0.0,0.0,0.06,0.35,0.02,0.0,0.02
5929,43200,10,10.0,6.0,0,7542.0,,,0,1,0.0,0.0,0.0,0.07,0.03,0.07,0.02,0.0,0.0,0.0,0.0,0.15,0.07,0.0,0.0,0.03,0.0,0.23,0.0,0.0,0.0,0.0,0.13,0.18,0.02,0.0,0.0
3664,85100,20,10.0,24.85,0,24081.0,,,0,0,0.0,0.0,0.0,0.08,0.05,0.08,0.02,0.0,0.0,0.0,0.05,0.03,0.11,0.0,0.01,0.16,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.29,0.01,0.01,0.04
2618,58200,23,10.0,16.5217,0,26501.0,,,37,0,0.0,0.0,0.0,0.05,0.11,0.03,0.03,0.0,0.0,0.0,0.0,0.06,0.19,0.0,0.01,0.08,0.01,0.08,0.0,0.0,0.0,0.05,0.0,0.19,0.09,0.01,0.03
